"Id","5913e1da8b0ee5cf0c53b209","5b7de8ab463f260f62cebb7c","5913e1da8b0ee5cf0c53b206"
"Timestamp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Conductivity","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - SondeTemp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Turbidity"
"Units","uS/cm","","NTU"
2017-05-16 23:20:00,50549,,6.55
2017-05-17 00:20:00,50786.1,,5.91
2017-05-17 01:20:00,50775.8,,4.73
2017-05-17 02:20:00,50250.1,,5.82
2017-05-17 03:20:00,49297.1,,3.59
2017-05-17 04:20:00,47758.3,,5.57
2017-05-17 05:20:00,49483.4,,6.52
2017-05-17 06:20:00,19073,,10.88
2017-05-17 07:20:00,18605.7,,5.61
2017-05-17 08:20:00,12908.4,,5.97
2017-05-17 09:20:00,10941.3,,6.44
2017-05-17 10:20:00,11688.8,,8.1
2017-05-17 11:20:00,11396.6,,8.68
2017-05-17 12:20:00,13232.2,,5.49
2017-05-17 13:20:00,17321.6,,6.41
2017-05-17 14:20:00,13236.1,,8.56
2017-05-17 15:20:00,13425.8,,9.02
2017-05-17 16:20:00,9446.58,,5.55
2017-05-17 17:20:00,7582.93,,3.95
2017-05-17 18:20:00,7119.18,,5.89
2017-05-17 19:20:00,6077.75,,4.06
2017-05-17 20:20:00,7023.11,,4.24
2017-05-17 21:20:00,8724.25,,6.13
2017-05-17 22:20:00,49267.9,,7.57
2017-05-17 23:20:00,49985.8,,7.3
2017-05-18 00:20:00,50247,,8.5
2017-05-18 01:20:00,50256.3,,7.24
2017-05-18 02:20:00,50121.6,,8.03
2017-05-18 03:20:00,48782.9,,6.46
2017-05-18 04:20:00,48936,,8.86
2017-05-18 05:20:00,47607.9,,5.72
2017-05-18 06:20:00,36808.5,,7.51
2017-05-18 07:20:00,40538,,6.29
2017-05-18 08:20:00,21405.6,,7.78
2017-05-18 09:20:00,20971.1,,5.48
2017-05-18 10:20:00,17692.2,,6.09
2017-05-18 11:20:00,15589.5,,5.01
2017-05-18 12:20:00,13892.7,,5.25
2017-05-18 13:20:00,13474.2,,4.18
2017-05-18 14:20:00,15050.5,,10.34
2017-05-18 15:20:00,21747.9,,8.16
2017-05-18 16:20:00,30586.5,,12.92
2017-05-18 17:20:00,21897.6,,6.24
2017-05-18 18:20:00,14146.3,,12.9
2017-05-18 19:20:00,14968.2,,6.44
2017-05-18 20:20:00,14170.7,,4.82
2017-05-18 21:20:00,9768.4,,5.42
2017-05-18 22:20:00,9257.44,,5.32
2017-05-18 23:20:00,8267.09,,4.06
2017-05-19 00:20:00,48985.4,,9.51
2017-05-19 01:20:00,48860.7,,7.02
2017-05-19 02:20:00,49813.7,,6.32
2017-05-19 03:20:00,50543.9,,6.6
2017-05-19 04:20:00,49875.3,,9.39
2017-05-19 05:20:00,48554.7,,8.19
2017-05-19 06:20:00,49012,,8.59
2017-05-19 07:20:00,49748.4,,13.04
2017-05-19 08:20:00,39602.1,,6.63
2017-05-19 09:20:00,24318.6,,7.45
2017-05-19 10:20:00,23796.2,,8.16
2017-05-19 11:20:00,18640.2,,7.55
2017-05-19 12:20:00,16496.3,,5.77
2017-05-19 13:20:00,15929.6,,6.2
2017-05-19 14:20:00,16055,,6.29
2017-05-19 15:20:00,22699.4,,5.35
2017-05-19 16:20:00,21562.3,,7.33
2017-05-19 17:20:00,21648.5,,5.75
2017-05-19 18:20:00,22526.8,,6.58
2017-05-19 19:20:00,16469.9,,6.83
2017-05-19 20:20:00,14866.5,,10.38
2017-05-19 21:20:00,14917.9,,9.04
2017-05-19 22:20:00,11428.1,,6.49
2017-05-19 23:20:00,9481.76,,8.69
2017-05-20 00:20:00,8414.24,,6.61
2017-05-20 01:20:00,11029.4,,6.17
2017-05-20 02:20:00,45486.9,,7.26
2017-05-20 03:20:00,48838.2,,10.07
2017-05-20 04:20:00,49696,,12.69
2017-05-20 05:20:00,48593,,11.55
2017-05-20 06:20:00,46199.9,,8.94
2017-05-20 07:20:00,42183,,8.47
2017-05-20 08:20:00,35698.8,,11.11
2017-05-20 09:20:00,22800.7,,8.22
2017-05-20 10:20:00,15687.1,,8.7
2017-05-20 11:20:00,11407.4,,11.7
2017-05-20 12:20:00,9632.27,,10.31
2017-05-20 13:20:00,7144.75,,20.31
2017-05-20 14:20:00,11754.2,,15.29
2017-05-20 15:20:00,40936.2,,29.34
2017-05-20 16:20:00,45753.1,,17.28
2017-05-20 17:20:00,35630.1,,8.38
2017-05-20 18:20:00,24715.9,,8.22
2017-05-20 19:20:00,20822.6,,15.79
2017-05-20 20:20:00,16269.9,,10.81
2017-05-20 21:20:00,14706.2,,7.64
2017-05-20 22:20:00,12575.5,,10.98
2017-05-20 23:20:00,9377.49,,10
2017-05-21 00:20:00,6768.99,,9.69
2017-05-21 01:20:00,7419.63,,9
2017-05-21 02:20:00,44377,,8.18
2017-05-21 03:20:00,49058.2,,8.69
2017-05-21 04:20:00,49888.2,,8.02
2017-05-21 05:20:00,50417.4,,12.22
2017-05-21 06:20:00,49507.3,,29.72
2017-05-21 07:20:00,46950.4,,7.02
2017-05-21 08:20:00,32475.4,,10.56
2017-05-21 09:20:00,30596.9,,11.12
2017-05-21 10:30:00,19092.9,,15.53
2017-05-21 11:30:00,13866.3,,15.2
2017-05-21 12:30:00,9599.07,,17.3
2017-05-21 13:30:00,6261.39,,12.86
2017-05-21 14:30:00,11538.6,,12.21
2017-05-21 15:30:00,35198.3,,45.02
2017-05-21 16:30:00,45543.3,,17.82
2017-05-21 17:30:00,48386.1,,5.99
2017-05-21 18:30:00,45127.4,,8.77
2017-05-21 19:30:00,46912.8,,4.83
2017-05-21 20:30:00,27638.8,,9.27
2017-05-21 21:30:00,29842,,7.36
2017-05-21 22:30:00,20546.3,,11
2017-05-21 23:30:00,14963,,8.48
2017-05-22 00:30:00,10151.1,,7
2017-05-22 01:30:00,16123.7,,10.39
2017-05-22 02:30:00,36337,,36.81
2017-05-22 03:30:00,48289.2,,9.39
2017-05-22 04:30:00,49398.9,,8.93
2017-05-22 05:30:00,50232.5,,6.02
2017-05-22 06:30:00,50070.2,,10.41
2017-05-22 07:30:00,50189.4,,6.86
2017-05-22 08:30:00,39013.5,,8.66
2017-05-22 09:30:00,33124.4,,5.08
